Title,Author,Rating,Status
The Conspiracy against the Human Race: A Contrivance of Horror,Thomas Ligotti,,Want to Read
The Body Electric: Electromagnetism And The Foundation Of Life,"Robert Becker, Gary Selden",,Want to Read
The Devil's Element: Phosphorus and a World Out of Balance,Dan Egan,,Want to Read
Hagakure: The Secret Wisdom of the Samurai,"Yamamoto Tsunetomo, Alexander Bennett",,Want to Read
Prometheus Rising: Introduced by Israel Regardie.,Robert A. Wilson,,Want to Read
"Amazon Kindle (neueste Generation) – Der leichteste und kompakteste Kindle, mit blendfreiem Bildschirm, schnellerem Umblättern und anpassbarem Frontlicht– 16 GB – ohne Werbung – schwarz",Amazon,,Want to Read
Strange Brains And Genius: The Secret Lives of Eccentric Scientists and Madmen,Clifford A. Pickover,,Want to Read
The Thirteenth Tribe: The Khazar Empire and its Heritage,Arthur Koestler,,Want to Read
Theft of Fire: Orbital Space #1,Devon Eriksen,,Want to Read
Das Nullpunkt-Artefakt: Science Fiction Thriller,"Joshua Tree, Douglas E. Richards",,Want to Read
"Wars of Gods and Men, The",Zecharia Sitchin,,Want to Read
Blood Meridian: Or the Evening Redness in the West (Vintage International),Cormac McCarthy,,Want to Read
Behold a Pale Horse,"William Cooper, Milton William Cooper",,Want to Read
Man: The Grand Symbol of the Mysteries Essays in Occult Anatomy,Manly Hall,,Want to Read
The Fabric of Reality: The Science of Parallel Universes--and Its Implications,David Deutsch,,Want to Read
The Immortality Key: The Secret History of the Religion with No Name (English Edition),"Brian C. Muraresku, Graham Hancock",,Want to Read
The Chemical Muse: Drug Use and the Roots of Western Civilization (English Edition),D. C. A. Hillman,,Want to Read
The Quantum Thief,Hannu Rajaniemi,,Want to Read
"Annihilation: A Novel (Southern Reach Trilogy, 1)",Jeff VanderMeer,,Want to Read
Nova,Samuel R. Delany,,Want to Read
Margins of Reality: The Role of Consciousness in the Physical World,"Robert G. Jahn, Brenda J. Dunne",,Want to Read
Poor Charlie’s Almanack: The Essential Wit and Wisdom of Charles T. Munger (English Edition),"Charles T. Munger, Peter D. Kaufman",,Want to Read
The Fabric of Reality,David Deutsch,,Want to Read
The Beginning of Infinity: Explanations That Transform the World,David Deutsch,,Want to Read
Black Gold: Pre-Columbian Farming on Terra Preta Anthrosol in the Amazon (English Edition),Marc Roosmalen,,Want to Read
"Nexus: The Sunday Times bestselling history about humans, technology and AI from the author of Sapiens (English Edition)",Yuval Noah Harari,,Want to Read
Autobiographie eines Yogi (Self-Realization Fellowship),Paramahansa Yogananda,,Want to Read
Inside the CIA (A History of American Espionage) (English Edition),Ronald Kessler,,Want to Read
Humans are not from Earth: a scientific evaluation of the evidence: A Scientific Evaluation Of The Evidence: A,Ellis Silver,,Want to Read
"Der zwölfte Planet. Wann, wo, wie die ersten Astronauten eines anderen Planeten zur Erde kamen und den Homo Sapiens schufen",Zecharia Sitchin,,Want to Read
Alexander the Great,Philip Freeman,,Want to Read
Mind Magic: Wie du dein bestes Leben manifestierst - neurowissenschaftlich erklärt,"James R. Doty, Matthias D. Borgmann",,Want to Read
DNA of the Gods: The Anunnaki Creation of Eve and the Alien Battle for Humanity (English Edition),Chris H. Hardy Ph.D.,,Want to Read
"Men Are from Mars, Women Are from Venus: The Sunday Times Bestsellar and definitive relationship guide (181 POCHE) (English Edition)",John Gray,,Want to Read
"Traders, Guns and Money: Knowns and Unknowns in the Dazzling World of Derivatives (Financial Times Series)",Satyajit Das,,Want to Read
Extreme Money: The Masters of the Universe & the Cult of Risk (Financial Times Series): The Masters of the Universe and the Cult of Risk,Satyajit Das,,Want to Read
History of the Peloponnesian War: Revised Edition (Penguin Classics),"Thucydides, M. Finley",,Want to Read
The Histories,"Herodotus, Robin Waterfield",,Want to Read
"The Power of Concentration (incl. Author Image) by Theron Q. Dumont (1914): Master of Self, Memory Improvement, Spoken Word, Prosperity; Liberty, ... Mystic Wisdom, Abundance, Mysticism",Theron Q. Dumont,,Want to Read
"The Mind-Gut Connection: How the Hidden Conversation Within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health",Emeran Mayer,,Want to Read
"Valley of Genius: The Uncensored History of Silicon Valley (As Told by the Hackers, Founders, and Freaks Who Made It Boom)",Adam Fisher,,Want to Read
